Date and Time,Frequency
24/Oct/1994,705
25/Oct/1994,1194
26/Oct/1994,1680
27/Oct/1994,1889
28/Oct/1994,1817
29/Oct/1994,898
30/Oct/1994,902
31/Oct/1994,2083
01/Nov/1994,1886
02/Nov/1994,2106
03/Nov/1994,2112
04/Nov/1994,1775
05/Nov/1994,568
06/Nov/1994,582
07/Nov/1994,1564
08/Nov/1994,1260
09/Nov/1994,1376
10/Nov/1994,1216
11/Nov/1994,710
12/Nov/1994,487
13/Nov/1994,613
14/Nov/1994,1330
15/Nov/1994,1207
16/Nov/1994,2142
17/Nov/1994,2266
18/Nov/1994,1266
19/Nov/1994,648
20/Nov/1994,784
21/Nov/1994,1777
22/Nov/1994,1753
23/Nov/1994,1520
24/Nov/1994,1675
25/Nov/1994,1349
26/Nov/1994,681
27/Nov/1994,588
28/Nov/1994,1660
29/Nov/1994,2237
30/Nov/1994,2113
01/Dec/1994,992
02/Dec/1994,1324
03/Dec/1994,712
04/Dec/1994,591
05/Dec/1994,1790
06/Dec/1994,1378
07/Dec/1994,1524
08/Dec/1994,1467
09/Dec/1994,1413
10/Dec/1994,489
11/Dec/1994,603
12/Dec/1994,1708
13/Dec/1994,1804
14/Dec/1994,1265
15/Dec/1994,1149
16/Dec/1994,1071
17/Dec/1994,1143
18/Dec/1994,1102
19/Dec/1994,1840
20/Dec/1994,1249
21/Dec/1994,1118
22/Dec/1994,908
23/Dec/1994,457
24/Dec/1994,123
25/Dec/1994,387
26/Dec/1994,280
27/Dec/1994,513
28/Dec/1994,465
29/Dec/1994,301
30/Dec/1994,336
31/Dec/1994,301
01/Jan/1995,251
02/Jan/1995,491
03/Jan/1995,1016
04/Jan/1995,885
05/Jan/1995,1104
06/Jan/1995,587
07/Jan/1995,346
08/Jan/1995,450
09/Jan/1995,1345
10/Jan/1995,1665
11/Jan/1995,1346
12/Jan/1995,1830
13/Jan/1995,1680
14/Jan/1995,481
15/Jan/1995,760
16/Jan/1995,1958
17/Jan/1995,1488
18/Jan/1995,1670
19/Jan/1995,2306
20/Jan/1995,1958
21/Jan/1995,624
22/Jan/1995,788
23/Jan/1995,1566
24/Jan/1995,2237
25/Jan/1995,1923
26/Jan/1995,2230
27/Jan/1995,2005
28/Jan/1995,1339
29/Jan/1995,1268
30/Jan/1995,2825
31/Jan/1995,3244
01/Feb/1995,2722
02/Feb/1995,2845
03/Feb/1995,2531
04/Feb/1995,2707
05/Feb/1995,1930
06/Feb/1995,3589
07/Feb/1995,5216
08/Feb/1995,4409
09/Feb/1995,5023
10/Feb/1995,2972
11/Feb/1995,1003
12/Feb/1995,1938
13/Feb/1995,3212
14/Feb/1995,3393
15/Feb/1995,3531
16/Feb/1995,2598
17/Feb/1995,2133
18/Feb/1995,1676
19/Feb/1995,1158
20/Feb/1995,1555
21/Feb/1995,1870
22/Feb/1995,2786
23/Feb/1995,2445
24/Feb/1995,1824
25/Feb/1995,1525
26/Feb/1995,1267
27/Feb/1995,2057
28/Feb/1995,2197
01/Mar/1995,2153
02/Mar/1995,2097
03/Mar/1995,1649
04/Mar/1995,1414
05/Mar/1995,1623
06/Mar/1995,2892
07/Mar/1995,3139
08/Mar/1995,2682
09/Mar/1995,2968
10/Mar/1995,3373
11/Mar/1995,1505
12/Mar/1995,1616
13/Mar/1995,3964
14/Mar/1995,4473
15/Mar/1995,4293
16/Mar/1995,3686
17/Mar/1995,1968
18/Mar/1995,1485
19/Mar/1995,1345
20/Mar/1995,4787
21/Mar/1995,6616
22/Mar/1995,4169
23/Mar/1995,4885
24/Mar/1995,2046
25/Mar/1995,2435
26/Mar/1995,2160
27/Mar/1995,4519
28/Mar/1995,5376
29/Mar/1995,6353
30/Mar/1995,4627
31/Mar/1995,3463
01/Apr/1995,1652
02/Apr/1995,1446
03/Apr/1995,2914
04/Apr/1995,3131
05/Apr/1995,3486
06/Apr/1995,3523
07/Apr/1995,4016
08/Apr/1995,2286
09/Apr/1995,2501
10/Apr/1995,3396
11/Apr/1995,3485
12/Apr/1995,3867
13/Apr/1995,2338
14/Apr/1995,1188
15/Apr/1995,1029
16/Apr/1995,1180
17/Apr/1995,1507
18/Apr/1995,1703
19/Apr/1995,2306
20/Apr/1995,2057
21/Apr/1995,2229
22/Apr/1995,1665
23/Apr/1995,966
24/Apr/1995,1433
25/Apr/1995,1545
26/Apr/1995,2337
27/Apr/1995,1941
28/Apr/1995,2006
29/Apr/1995,1055
30/Apr/1995,822
01/May/1995,1511
02/May/1995,2078
03/May/1995,2426
04/May/1995,2322
05/May/1995,2402
06/May/1995,3307
07/May/1995,2300
08/May/1995,2268
09/May/1995,3318
10/May/1995,2836
11/May/1995,2400
12/May/1995,1654
13/May/1995,900
14/May/1995,1092
15/May/1995,1787
16/May/1995,1729
17/May/1995,1950
18/May/1995,2274
19/May/1995,2270
20/May/1995,1114
21/May/1995,2505
22/May/1995,2923
23/May/1995,2669
24/May/1995,2159
25/May/1995,3330
26/May/1995,2159
27/May/1995,805
28/May/1995,582
29/May/1995,1271
30/May/1995,1642
31/May/1995,1795
01/Jun/1995,1944
02/Jun/1995,1734
03/Jun/1995,999
04/Jun/1995,1117
05/Jun/1995,1734
06/Jun/1995,2378
07/Jun/1995,1715
08/Jun/1995,2061
09/Jun/1995,1670
10/Jun/1995,1028
11/Jun/1995,866
12/Jun/1995,1801
13/Jun/1995,1832
14/Jun/1995,2463
15/Jun/1995,1841
16/Jun/1995,1797
17/Jun/1995,1339
18/Jun/1995,991
19/Jun/1995,2815
20/Jun/1995,2022
21/Jun/1995,2555
22/Jun/1995,2369
23/Jun/1995,1988
24/Jun/1995,984
25/Jun/1995,1625
26/Jun/1995,2245
27/Jun/1995,2197
28/Jun/1995,2187
29/Jun/1995,1819
30/Jun/1995,1604
01/Jul/1995,810
02/Jul/1995,1221
03/Jul/1995,1740
04/Jul/1995,2580
05/Jul/1995,1955
06/Jul/1995,1747
07/Jul/1995,1285
08/Jul/1995,829
09/Jul/1995,758
10/Jul/1995,1743
11/Jul/1995,2215
12/Jul/1995,1830
13/Jul/1995,1877
14/Jul/1995,1818
15/Jul/1995,1028
16/Jul/1995,935
17/Jul/1995,2181
18/Jul/1995,1740
19/Jul/1995,1906
20/Jul/1995,1853
21/Jul/1995,2070
22/Jul/1995,1290
23/Jul/1995,1636
24/Jul/1995,2185
25/Jul/1995,2916
26/Jul/1995,2440
27/Jul/1995,2468
28/Jul/1995,2657
29/Jul/1995,1291
30/Jul/1995,1559
31/Jul/1995,2378
01/Aug/1995,2479
02/Aug/1995,3138
03/Aug/1995,2666
04/Aug/1995,2828
05/Aug/1995,1714
06/Aug/1995,1541
07/Aug/1995,1851
08/Aug/1995,2796
09/Aug/1995,2795
10/Aug/1995,2657
11/Aug/1995,1995
12/Aug/1995,1178
13/Aug/1995,1758
14/Aug/1995,2804
15/Aug/1995,2115
16/Aug/1995,2267
17/Aug/1995,2175
18/Aug/1995,2053
19/Aug/1995,991
20/Aug/1995,1374
21/Aug/1995,2219
22/Aug/1995,2374
23/Aug/1995,2774
24/Aug/1995,2318
25/Aug/1995,2260
26/Aug/1995,1256
27/Aug/1995,1242
28/Aug/1995,2207
29/Aug/1995,1937
30/Aug/1995,2297
31/Aug/1995,2018
01/Sep/1995,1191
02/Sep/1995,1020
03/Sep/1995,654
04/Sep/1995,1065
05/Sep/1995,1171
06/Sep/1995,1749
07/Sep/1995,2382
08/Sep/1995,3208
09/Sep/1995,1602
10/Sep/1995,1613
11/Sep/1995,3543
12/Sep/1995,3287
13/Sep/1995,4746
14/Sep/1995,3963
15/Sep/1995,3764
16/Sep/1995,1883
17/Sep/1995,2021
18/Sep/1995,3494
19/Sep/1995,4079
20/Sep/1995,4524
21/Sep/1995,5471
22/Sep/1995,3381
23/Sep/1995,2897
24/Sep/1995,2853
25/Sep/1995,4358
26/Sep/1995,4894
27/Sep/1995,4153
28/Sep/1995,4004
29/Sep/1995,3822
30/Sep/1995,2304
01/Oct/1995,2174
02/Oct/1995,4594
03/Oct/1995,3818
04/Oct/1995,3969
05/Oct/1995,3718
06/Oct/1995,3853
07/Oct/1995,1548
08/Oct/1995,2022
09/Oct/1995,2814
10/Oct/1995,3708
11/Oct/1995,2522
